2347,2346,2276,2206,2136,2066,1996,1926,1856,1786,1716,1646,1576,1506,1436,1366,1296,1226,1156,1086,1016,946,876,806,736,666,596,526,456,386,316,246,176,106,36,4727,4657,4587,4517,4447,4377,4307,4237,4167,4097,4027,3957,3887,3817,3747,3677,3607,3537,3467,3397,3327,3257,3187,3117,3047,2977,2907,2837,2767,2697,2627,2557,2487,2417
2418,2348,2278,2277,2207,2137,2067,1997,1927,1857,1787,1717,1647,1577,1507,1437,1367,1297,1227,1157,1087,1017,947,877,807,737,667,597,527,457,387,317,247,177,107,37,4728,4658,4588,4518,4448,4378,4308,4238,4168,4098,4028,3958,3888,3818,3748,3678,3608,3538,3468,3398,3328,3258,3188,3118,3048,2978,2908,2838,2768,2698,2628,2558,2488
2489,2419,2349,2279,2209,2208,2138,2068,1998,1928,1858,1788,1718,1648,1578,1508,1438,1368,1298,1228,1158,1088,1018,948,878,808,738,668,598,528,458,388,318,248,178,108,38,4729,4659,4589,4519,4449,4379,4309,4239,4169,4099,4029,3959,3889,3819,3749,3679,3609,3539,3469,3399,3329,3259,3189,3119,3049,2979,2909,2839,2769,2699,2629,2559
2560,2490,2420,2350,2280,2210,2140,2139,2069,1999,1929,1859,1789,1719,1649,1579,1509,1439,1369,1299,1229,1159,1089,1019,949,879,809,739,669,599,529,459,389,319,249,179,109,39,4730,4660,4590,4520,4450,4380,4310,4240,4170,4100,4030,3960,3890,3820,3750,3680,3610,3540,3470,3400,3330,3260,3190,3120,3050,2980,2910,2840,2770,2700,2630
2631,2561,2491,2421,2351,2281,2211,2141,2071,2070,2000,1930,1860,1790,1720,1650,1580,1510,1440,1370,1300,1230,1160,1090,1020,950,880,810,740,670,600,530,460,390,320,250,180,110,40,4731,4661,4591,4521,4451,4381,4311,4241,4171,4101,4031,3961,3891,3821,3751,3681,3611,3541,3471,3401,3331,3261,3191,3121,3051,2981,2911,2841,2771,2701
2702,2632,2562,2492,2422,2352,2282,2212,2142,2072,2002,2001,1931,1861,1791,1721,1651,1581,1511,1441,1371,1301,1231,1161,1091,1021,951,881,811,741,671,601,531,461,391,321,251,181,111,41,4732,4662,4592,4522,4452,4382,4312,4242,4172,4102,4032,3962,3892,3822,3752,3682,3612,3542,3472,3402,3332,3262,3192,3122,3052,2982,2912,2842,2772
2773,2703,2633,2563,2493,2423,2353,2283,2213,2143,2073,2003,1933,1932,1862,1792,1722,1652,1582,1512,1442,1372,1302,1232,1162,1092,1022,952,882,812,742,672,602,532,462,392,322,252,182,112,42,4733,4663,4593,4523,4453,4383,4313,4243,4173,4103,4033,3963,3893,3823,3753,3683,3613,3543,3473,3403,3333,3263,3193,3123,3053,2983,2913,2843
2844,2774,2704,2634,2564,2494,2424,2354,2284,2214,2144,2074,2004,1934,1864,1863,1793,1723,1653,1583,1513,1443,1373,1303,1233,1163,1093,1023,953,883,813,743,673,603,533,463,393,323,253,183,113,43,4734,4664,4594,4524,4454,4384,4314,4244,4174,4104,4034,3964,3894,3824,3754,3684,3614,3544,3474,3404,3334,3264,3194,3124,3054,2984,2914
2915,2845,2775,2705,2635,2565,2495,2425,2355,2285,2215,2145,2075,2005,1935,1865,1795,1794,1724,1654,1584,1514,1444,1374,1304,1234,1164,1094,1024,954,884,814,744,674,604,534,464,394,324,254,184,114,44,4735,4665,4595,4525,4455,4385,4315,4245,4175,4105,4035,3965,3895,3825,3755,3685,3615,3545,3475,3405,3335,3265,3195,3125,3055,2985
2986,2916,2846,2776,2706,2636,2566,2496,2426,2356,2286,2216,2146,2076,2006,1936,1866,1796,1726,1725,1655,1585,1515,1445,1375,1305,1235,1165,1095,1025,955,885,815,745,675,605,535,465,395,325,255,185,115,45,4736,4666,4596,4526,4456,4386,4316,4246,4176,4106,4036,3966,3896,3826,3756,3686,3616,3546,3476,3406,3336,3266,3196,3126,3056
3057,2987,2917,2847,2777,2707,2637,2567,2497,2427,2357,2287,2217,2147,2077,2007,1937,1867,1797,1727,1657,1656,1586,1516,1446,1376,1306,1236,1166,1096,1026,956,886,816,746,676,606,536,466,396,326,256,186,116,46,4737,4667,4597,4527,4457,4387,4317,4247,4177,4107,4037,3967,3897,3827,3757,3687,3617,3547,3477,3407,3337,3267,3197,3127
3128,3058,2988,2918,2848,2778,2708,2638,2568,2498,2428,2358,2288,2218,2148,2078,2008,1938,1868,1798,1728,1658,1588,1587,1517,1447,1377,1307,1237,1167,1097,1027,957,887,817,747,677,607,537,467,397,327,257,187,117,47,4738,4668,4598,4528,4458,4388,4318,4248,4178,4108,4038,3968,3898,3828,3758,3688,3618,3548,3478,3408,3338,3268,3198
3199,3129,3059,2989,2919,2849,2779,2709,2639,2569,2499,2429,2359,2289,2219,2149,2079,2009,1939,1869,1799,1729,1659,1589,1519,1518,1448,1378,1308,1238,1168,1098,1028,958,888,818,748,678,608,538,468,398,328,258,188,118,48,4739,4669,4599,4529,4459,4389,4319,4249,4179,4109,4039,3969,3899,3829,3759,3689,3619,3549,3479,3409,3339,3269
3270,3200,3130,3060,2990,2920,2850,2780,2710,2640,2570,2500,2430,2360,2290,2220,2150,2080,2010,1940,1870,1800,1730,1660,1590,1520,1450,1449,1379,1309,1239,1169,1099,1029,959,889,819,749,679,609,539,469,399,329,259,189,119,49,4740,4670,4600,4530,4460,4390,4320,4250,4180,4110,4040,3970,3900,3830,3760,3690,3620,3550,3480,3410,3340
3341,3271,3201,3131,3061,2991,2921,2851,2781,2711,2641,2571,2501,2431,2361,2291,2221,2151,2081,2011,1941,1871,1801,1731,1661,1591,1521,1451,1381,1380,1310,1240,1170,1100,1030,960,890,820,750,680,610,540,470,400,330,260,190,120,50,4741,4671,4601,4531,4461,4391,4321,4251,4181,4111,4041,3971,3901,3831,3761,3691,3621,3551,3481,3411
3412,3342,3272,3202,3132,3062,2992,2922,2852,2782,2712,2642,2572,2502,2432,2362,2292,2222,2152,2082,2012,1942,1872,1802,1732,1662,1592,1522,1452,1382,1312,1311,1241,1171,1101,1031,961,891,821,751,681,611,541,471,401,331,261,191,121,51,4742,4672,4602,4532,4462,4392,4322,4252,4182,4112,4042,3972,3902,3832,3762,3692,3622,3552,3482
3483,3413,3343,3273,3203,3133,3063,2993,2923,2853,2783,2713,2643,2573,2503,2433,2363,2293,2223,2153,2083,2013,1943,1873,1803,1733,1663,1593,1523,1453,1383,1313,1243,1242,1172,1102,1032,962,892,822,752,682,612,542,472,402,332,262,192,122,52,4743,4673,4603,4533,4463,4393,4323,4253,4183,4113,4043,3973,3903,3833,3763,3693,3623,3553
3554,3484,3414,3344,3274,3204,3134,3064,2994,2924,2854,2784,2714,2644,2574,2504,2434,2364,2294,2224,2154,2084,2014,1944,1874,1804,1734,1664,1594,1524,1454,1384,1314,1244,1174,1173,1103,1033,963,893,823,753,683,613,543,473,403,333,263,193,123,53,4744,4674,4604,4534,4464,4394,4324,4254,4184,4114,4044,3974,3904,3834,3764,3694,3624
